"PE_SIF,C,2","PE_IME,C,30","D46_MID,N,8,0","D46_ID,N,6,0","D46_IME,C,30","N8,N,8,0","POVRSINA,N,15,4","Y_C,N,6,0","X_C,N,6,0"
OS,OBCINA - STARA (do 31.12.1994),10053609,1,AJDOVŠČINA,,"352640500,0000",415110,83160
OS,OBCINA - STARA (do 31.12.1994),10053617,2,BREŽICE,,"268112880,0000",546320,84680
OS,OBCINA - STARA (do 31.12.1994),10053625,3,CELJE,,"229980040,0000",520710,120700
OS,OBCINA - STARA (do 31.12.1994),10053633,4,CERKNICA,,"483206580,0000",450470,72660
OS,OBCINA - STARA (do 31.12.1994),10053641,5,ČRNOMELJ,,"486318410,0000",515530,47740
OS,OBCINA - STARA (do 31.12.1994),10053650,6,DOMŽALE,,"239651040,0000",469600,111380
OS,OBCINA - STARA (do 31.12.1994),10053668,7,DRAVOGRAD,,"105000790,0000",502510,160980
OS,OBCINA - STARA (do 31.12.1994),10053676,8,GORNJA RADGONA,,"209969380,0000",576310,170620
OS,OBCINA - STARA (do 31.12.1994),10053684,9,GROSUPLJE,,"421118550,0000",473720,90160
OS,OBCINA - STARA (do 31.12.1994),10053692,10,HRASTNIK,,"58576680,0000",507020,111530
OS,OBCINA - STARA (do 31.12.1994),10053706,11,IDRIJA,,"425291780,0000",424630,95700
OS,OBCINA - STARA (do 31.12.1994),10053714,12,ILIRSKA BISTRICA,,"480011570,0000",442040,47340
OS,OBCINA - STARA (do 31.12.1994),10053722,13,IZOLA,,"28561420,0000",395860,44600
OS,OBCINA - STARA (do 31.12.1994),10053749,14,JESENICE,,"374731010,0000",428150,144040
OS,OBCINA - STARA (do 31.12.1994),10053757,15,KAMNIK,,"289698680,0000",470350,120290
OS,OBCINA - STARA (do 31.12.1994),10053765,16,KOČEVJE,,"766190090,0000",489410,55420
OS,OBCINA - STARA (do 31.12.1994),10053773,17,KOPER,,"270396620,0000",401160,45480
OS,OBCINA - STARA (do 31.12.1994),10053781,18,KRANJ,,"453287960,0000",450690,122370
OS,OBCINA - STARA (do 31.12.1994),10053790,19,KRŠKO,,"344856870,0000",537980,91480
OS,OBCINA - STARA (do 31.12.1994),10053803,20,LAŠKO,,"249429760,0000",518800,112490
OS,OBCINA - STARA (do 31.12.1994),10053811,21,LENART,,"204549860,0000",564170,159270
OS,OBCINA - STARA (do 31.12.1994),10053820,22,LENDAVA,,"256942340,0000",611670,158700
